texto,gravidade_esperada
O paciente apresentou tontura leve após uso do medicamento.,leve
O paciente apresentou leve vermelhidão na pele após uso do medicamento.,leve
O paciente apresentou taquicardia severa após uso do medicamento.,grave
O paciente apresentou leve vermelhidão na pele após uso do medicamento.,leve
O paciente apresentou sonolência após uso do medicamento.,leve
O paciente apresentou espirros ocasionais após uso do medicamento.,leve
O paciente apresentou boca seca após uso do medicamento.,leve
O paciente apresentou parada cardíaca após uso do medicamento.,grave
O paciente apresentou hemorragia após uso do medicamento.,grave
O paciente apresentou tontura leve após uso do medicamento.,leve
O paciente apresentou dor abdominal intensa após uso do medicamento.,moderada
O paciente apresentou visão turva após uso do medicamento.,moderada
O paciente apresentou inchaço leve nas mãos após uso do medicamento.,leve
O paciente apresentou náuseas após uso do medicamento.,leve
O paciente apresentou palpitações após uso do medicamento.,moderada
O paciente apresentou taquicardia severa após uso do medicamento.,grave
O paciente apresentou sonolência após uso do medicamento.,leve
O paciente apresentou dor abdominal intensa após uso do medicamento.,moderada
O paciente apresentou vômito após uso do medicamento.,moderada
O paciente apresentou coceira leve após uso do medicamento.,leve
O paciente apresentou coma após uso do medicamento.,grave
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou hemorragia após uso do medicamento.,grave
O paciente apresentou calafrios após uso do medicamento.,moderada
O paciente apresentou febre alta após uso do medicamento.,grave
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou dor de cabeça após uso do medicamento.,leve
O paciente apresentou leve vermelhidão na pele após uso do medicamento.,leve
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou dificuldade respiratória após uso do medicamento.,grave
O paciente apresentou náuseas após uso do medicamento.,leve
O paciente apresentou sonolência após uso do medicamento.,leve
O paciente apresentou dor de cabeça após uso do medicamento.,leve
O paciente apresentou coceira leve após uso do medicamento.,leve
O paciente apresentou queda de pressão após uso do medicamento.,moderada
O paciente apresentou parada cardíaca após uso do medicamento.,grave
O paciente apresentou taquicardia severa após uso do medicamento.,grave
O paciente apresentou parada cardíaca após uso do medicamento.,grave
O paciente apresentou leve vermelhidão na pele após uso do medicamento.,leve
O paciente apresentou dor de cabeça após uso do medicamento.,leve
O paciente apresentou febre moderada após uso do medicamento.,moderada
O paciente apresentou coma após uso do medicamento.,grave
O paciente apresentou febre moderada após uso do medicamento.,moderada
O paciente apresentou convulsões após uso do medicamento.,grave
O paciente apresentou inchaço no rosto após uso do medicamento.,moderada
O paciente apresentou parada cardíaca após uso do medicamento.,grave
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou hemorragia após uso do medicamento.,grave
O paciente apresentou vômito após uso do medicamento.,moderada
O paciente apresentou taquicardia severa após uso do medicamento.,grave
O paciente apresentou convulsões após uso do medicamento.,grave
O paciente apresentou visão turva após uso do medicamento.,moderada
O paciente apresentou dor de cabeça após uso do medicamento.,leve
O paciente apresentou inchaço leve nas mãos após uso do medicamento.,leve
O paciente apresentou queda de pressão após uso do medicamento.,moderada
O paciente apresentou leve vermelhidão na pele após uso do medicamento.,leve
O paciente apresentou náuseas após uso do medicamento.,leve
O paciente apresentou calafrios após uso do medicamento.,moderada
O paciente apresentou febre moderada após uso do medicamento.,moderada
O paciente apresentou palpitações após uso do medicamento.,moderada
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou palpitações após uso do medicamento.,moderada
O paciente apresentou dificuldade respiratória após uso do medicamento.,grave
O paciente apresentou taquicardia severa após uso do medicamento.,grave
O paciente apresentou tontura leve após uso do medicamento.,leve
O paciente apresentou hemorragia após uso do medicamento.,grave
O paciente apresentou coceira leve após uso do medicamento.,leve
O paciente apresentou visão turva após uso do medicamento.,moderada
O paciente apresentou inchaço leve nas mãos após uso do medicamento.,leve
O paciente apresentou visão turva após uso do medicamento.,moderada
O paciente apresentou dificuldade respiratória após uso do medicamento.,grave
O paciente apresentou coceira leve após uso do medicamento.,leve
O paciente apresentou taquicardia severa após uso do medicamento.,grave
O paciente apresentou boca seca após uso do medicamento.,leve
O paciente apresentou coceira leve após uso do medicamento.,leve
O paciente apresentou convulsões após uso do medicamento.,grave
O paciente apresentou coma após uso do medicamento.,grave
O paciente apresentou náuseas após uso do medicamento.,leve
O paciente apresentou náuseas após uso do medicamento.,leve
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou dor abdominal intensa após uso do medicamento.,moderada
O paciente apresentou parada cardíaca após uso do medicamento.,grave
O paciente apresentou edema pulmonar após uso do medicamento.,grave
O paciente apresentou náuseas após uso do medicamento.,leve
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou coma após uso do medicamento.,grave
O paciente apresentou taquicardia severa após uso do medicamento.,grave
O paciente apresentou coceira leve após uso do medicamento.,leve
O paciente apresentou inchaço no rosto após uso do medicamento.,moderada
O paciente apresentou visão turva após uso do medicamento.,moderada
O paciente apresentou palpitações após uso do medicamento.,moderada
O paciente apresentou náuseas após uso do medicamento.,leve
O paciente apresentou boca seca após uso do medicamento.,leve
O paciente apresentou diarreia leve após uso do medicamento.,leve
O paciente apresentou boca seca após uso do medicamento.,leve
O paciente apresentou febre alta após uso do medicamento.,grave
O paciente apresentou convulsões após uso do medicamento.,grave
O paciente apresentou febre moderada após uso do medicamento.,moderada
O paciente apresentou sonolência após uso do medicamento.,leve
O paciente apresentou fraqueza muscular após uso do medicamento.,moderada
